id,filename,algorithm_sol,algorithm_sol_int,color_sol,partitions,variability,probability,min_degree,avg_degree,max_degree,std_degree,color,nodes,edges,cheat,edge_node_ratio,node_edge_ratio,density,greedy_color_sol,greedy_iss_min,greedy_iss_max,greedy_iss_mean,greedy_iss_median,greedy_iss_std,greedy_iss_q25,greedy_iss_q75,rlf_color_sol,rlf_time_sol,rlf_iss_min,rlf_iss_max,rlf_iss_mean,rlf_iss_median,rlf_iss_std,rlf_iss_q25,rlf_iss_q75,dsat_color_sol,dsat_time_sol,dsat_iss_min,dsat_iss_max,dsat_iss_mean,dsat_iss_median,dsat_iss_std,dsat_iss_q25,dsat_iss_q75,best_greedy_col,dsat_rlf_ratio,rlf_dsat_ratio
949,../../graphs/col/G-1000-0.9-150-0.3.col,TABU,0,154,150,0.000000,0.9,863,893.116000,925,9.588459,150,1000,446558,1,446.558,0.002239350767425508,0.89401001001001,302,1,10,3.3003300330033003,3,0.8371940817114321,3.0,4.0,253,2.889723,2,11,3.952569169960474,4,1.5652866642972108,3.0,4.0,289,0.071316,1,12,3.4602076124567476,3,0.923821297698174,3.0,4.0,253,1.1422924901185771,0.8754325259515571
950,../../graphs/col/W-500-0.5-40-0.2.col,TABU,0,45,40,0.000000,0.5,205,243.380000,279,12.975038,40,500,60845,1,121.69,0.008217602103706138,0.48773547094188374,66,2,11,7.462686567164179,8,1.540644869005373,7.0,8.0,58,0.082263,6,11,8.620689655172415,9.0,1.167206685148787,8.0,9.25,63,0.007098,1,11,7.936507936507937,8,1.4796797372864157,7.0,9.0,58,1.0862068965517242,0.9206349206349206
951,../../graphs/col/W-500-0.9-30-0.5.col,ILS,1,30,30,0.000000,0.9,406,434.052000,465,8.803482,30,500,108513,1,217.026,0.004607742851086966,0.8698436873747495,60,3,23,8.19672131147541,5,5.767205192960011,3.0,13.0,30,0.0975,9,24,16.666666666666668,16.0,4.261563039570092,14.0,21.0,30,0.012494,9,24,16.666666666666668,16.0,4.261563039570092,14.0,21.0,30,1.0,1.0
952,../../graphs/col/G-500-0.9-140-1.3.col,TABU,0,95,140,1.000000,0.9,400,441.576000,464,11.555614,117,500,110394,1,220.788,0.004529231661141004,0.8849218436873747,141,2,18,3.5211267605633805,3.0,1.8401291577362535,3.0,4.0,124,0.385604,2,18,4.032258064516129,3.0,2.4855206186771808,3.0,4.0,138,0.011809,1,15,3.6231884057971016,3.0,1.7559197001688989,3.0,4.0,124,1.1129032258064515,0.8985507246376812
953,../../graphs/col/U-500-0.5-100-1.1.col,TABU,0,74,100,1.000000,0.5,97,247.876000,407,68.576852,85,500,61969,1,123.938,0.008068550404234376,0.4967454909819639,84,1,48,5.882352941176471,5,5.377226592429459,4.0,6.0,80,0.137763,1,52,6.25,5.0,5.851538800103262,4.25,6.0,80,0.009164,1,38,6.25,5.0,4.642947557889972,4.0,7.0,80,1.0,1.0
954,../../graphs/col/G-1000-0.5-40-1.1.col,ILS,1,60,40,1.000000,0.5,390,477.458000,536,26.817760,40,1000,238729,1,238.729,0.004188850118753901,0.4779359359359359,104,1,49,9.523809523809524,9,4.504474779626704,8.5,10.0,84,0.596282,7,47,11.904761904761905,10.0,6.854106231434138,9.0,11.0,100,0.030035,2,82,10,9.0,7.6024982603075815,8.25,10.0,84,1.1904761904761905,0.84
955,../../graphs/col/W-1000-0.1--.2.col,TABU,0,21,,,0.1,57,99.900000,141,13.607571,,1000,49950,0,49.95,0.02002002002002002,0.1,29,2,43,33.333333333333336,37.0,10.914505796489788,28.5,41.0,24,0.032522,25,48,41.666666666666664,44.0,5.205905231116133,40.0,44.75,27,0.008107,7,44,37.03703703703704,39,8.002314480013707,36.0,42.0,24,1.125,0.8888888888888888
956,../../graphs/col/W-500-0.5-60-0.4.col,TABU,0,48,60,0.000000,0.5,206,245.220000,279,13.410130,59,500,61305,1,122.61,0.008155941603458118,0.4914228456913828,67,2,10,7.352941176470588,8.0,1.6277876743930881,7.0,8.0,59,0.093047,5,11,8.474576271186441,9,1.3436431715789292,8.0,9.0,64,0.0073,2,10,7.8125,8.0,1.4679107277903192,7.0,9.0,59,1.0847457627118644,0.921875
957,../../graphs/col/U-1000-0.9-300-1.5.col,ILS,1,237,300,1.000000,0.9,568,884.486000,999,97.802770,256,1000,442243,1,442.243,0.0022612002903381174,0.8853713713713713,242,1,55,4.11522633744856,3,4.445618914302518,2.0,4.0,239,2.852171,1,56,4.184100418410042,3,4.514169838897468,2.0,5.0,237,0.053019,1,54,4.219409282700422,3,4.428619709450159,2.0,5.0,237,0.9916317991631799,1.0084388185654007
958,../../graphs/col/G-500-0.5-60-1.1.col,TABU,0,40,60,1.000000,0.5,189,238.740000,270,15.162599,53,500,59685,1,119.37,0.008377314233056881,0.478436873747495,63,2,18,7.8125,8.0,2.376304988175002,7.0,9.0,55,0.102538,3,16,9.090909090909092,9,2.0391785498698143,8.0,10.0,59,0.008934,6,13,8.474576271186441,8,1.3177296594101935,8.0,9.0,55,1.0727272727272728,0.9322033898305084
