id,filename,algorithm_sol,algorithm_sol_int,color_sol,time_sol,time,time_ratio,iterations_sol,iterations,iterations_ratio,random_seed,partitions,variability,probability,min_degree,avg_degree,max_degree,std_degree,color,nodes,edges,cheat,edge_node_ratio,node_edge_ratio,density
23,../../graphs/col/U-1000-0.5-80-1.2.col,ILS,1,78,0.584927,20,0.029246349999999997,5770,145992,0.03952271357334648,2,80,1.000000,0.5,201,487.658000,797,136.383822,80,1000,243829,1,243.829,0.004101234881822917,487170.342
24,../../graphs/col/U-1000-0.5-80-0.4.col,HEA,2,79,12.332627,20,0.61663135,1124902,1814219,0.6200475245822031,4,80,0.000000,0.5,228,487.440000,808,130.584740,80,1000,243720,1,243.72,0.004103069095683571,486952.56
25,../../graphs/col/G-1000-0.5-80-1.1.col,TABU,0,76,15.887524,20,0.7943762000000001,902917,1167237,0.7735507013571365,1,80,1.000000,0.5,414,487.256000,544,21.895946,79,1000,243628,1,243.628,0.004104618516755053,486768.74399999995
26,../../graphs/col/G-1000-0.9-250-1.1.col,TABU,0,173,75.53277,120,0.62943975,2295484,4349282,0.5277845860535141,1,250,1.000000,0.9,829,891.012000,925,14.547297,213,1000,445506,1,445.506,0.002244638680511598,890120.9879999999
27,../../graphs/col/W-500-0.9-60-0.2.col,ILS,1,60,1.527637,15,0.10184246666666666,12918,43206,0.29898625190945705,2,60,0.000000,0.9,420,441.936000,457,6.980824,60,500,110484,1,220.968,0.004525542159950762,220526.06399999998
28,../../graphs/col/U-500-0.5-30-0.5.col,ILS,1,30,0.045847,7,0.006549571428571428,0,15449,0.0,5,30,0.000000,0.5,105,235.628000,388,65.974826,30,500,58907,1,117.814,0.008487955591016347,117578.37199999999
29,../../graphs/col/U-1000-0.1-50-1.5.col,HEA,2,33,4.629804,7,0.6614005714285714,1044793,1464710,0.7133104846693202,5,50,1.000000,0.1,37,102.280000,150,24.796040,43,1000,51140,1,51.14,0.019554165037152915,102177.72
30,../../graphs/col/G-1000-0.5--.4.col,HEA,2,91,39.381529,60,0.6563588166666666,2157629,2467031,0.874585280849734,4,,,0.5,439,499.740000,555,17.058265,,1000,249870,0,249.87,0.004002081082162725,499240.26
31,../../graphs/col/G-500-0.9--.9.col,TABU,0,128,17.526578,30,0.5842192666666667,1388697,2388862,0.5813215665032136,9,,,0.9,431,448.836000,469,6.104843,,500,112209,0,224.418,0.004455970554946573,223969.16400000002
32,../../graphs/col/G-500-0.9-100-0.5.col,HEA,2,92,11.5618,15,0.7707866666666666,51783,59834,0.8654443961627168,5,100,0.000000,0.9,426,444.232000,463,6.943931,97,500,111058,1,222.116,0.004502152028669704,221671.768
33,../../graphs/col/W-500-0.9-30-0.2.col,ILS,1,30,0.070331,7,0.010047285714285715,0,15037,0.0,2,30,0.000000,0.9,404,434.204000,459,8.249266,30,500,108551,1,217.102,0.0046061298375878615,216667.796
34,../../graphs/col/U-1000-0.5-110-1.4.col,HEA,2,96,3.271371,30,0.1090457,57731,117377,0.49184252451502425,4,110,1.000000,0.5,229,483.598000,808,130.056528,108,1000,241799,1,241.799,0.004135666400605462,483114.402
35,../../graphs/col/U-1000-0.1--.1.col,HEA,2,53,0.215496,60,0.0035916,447,15164429,2.9476876445529206e-05,1,,,0.1,34,106.696000,152,26.000223,,1000,53348,0,53.348,0.018744845167578916,106589.304
36,../../graphs/col/U-1000-0.1--.6.col,ILS,1,50,0.072748,60,0.0012124666666666665,5,83790,5.967299200381907e-05,6,,,0.1,33,104.214000,145,24.087179,,1000,52107,0,52.107,0.019191279482603105,104109.786
37,../../graphs/col/G-500-0.9-100-0.2.col,HEA,2,97,12.999402,15,0.8666268,114293,247172,0.4624026993348761,2,100,0.000000,0.9,419,444.248000,462,6.832752,100,500,111062,1,222.124,0.0045019898795267506,221679.752
38,../../graphs/col/U-1000-0.9-400-1.2.col,TABU,0,286,6.223717,120,0.05186430833333333,173321,6305999,0.027485097920250227,2,400,1.000000,0.9,555,886.486000,999,99.016826,308,1000,443243,1,443.243,0.002256098799078609,885599.514
39,../../graphs/col/G-1000-0.1-10-0.3.col,HEA,2,19,0.258713,3,0.08623766666666667,32114,689987,0.046542905880835435,3,10,0.000000,0.1,61,89.798000,121,9.075197,10,1000,44899,1,44.899,0.022272210962382237,89708.202
40,../../graphs/col/W-1000-0.9-220-1.5.col,TABU,0,167,65.240427,120,0.543670225,1862255,4376083,0.4255529431228795,5,220,1.000000,0.9,810,889.488000,930,18.939426,198,1000,444744,1,444.744,0.0022484845214325545,888598.5120000001
41,../../graphs/col/U-1000-0.5-80-1.1.col,HEA,2,77,17.784698,20,0.8892348999999999,1719140,1722124,0.9982672560164076,1,80,1.000000,0.5,190,487.498000,810,133.846644,80,1000,243749,1,243.749,0.004102580933665369,487010.502
42,../../graphs/col/G-500-0.9-120-0.5.col,ILS,1,103,3.721063,20,0.18605315,168441,248922,0.6766818521464555,5,120,0.000000,0.9,427,445.036000,465,6.589894,115,500,111259,1,222.518,0.004494018461427839,222072.964
43,../../graphs/col/U-500-0.5-80-1.5.col,HEA,2,60,0.591497,15,0.039433133333333335,22090,2193208,0.01007200411452083,5,80,1.000000,0.5,104,236.388000,395,66.946168,71,500,59097,1,118.194,0.008460666362082678,117957.61200000001
44,../../graphs/col/G-500-0.9-100-0.1.col,TABU,0,97,3.708102,15,0.24720679999999998,155577,1247253,0.12473571921655029,1,100,0.000000,0.9,421,443.528000,466,7.206748,100,500,110882,1,221.764,0.0045092981728323805,221320.472
45,../../graphs/col/W-500-0.5-50-0.4.col,TABU,0,48,5.901896,7,0.843128,707289,807286,0.8761318789128016,4,50,0.000000,0.5,213,244.568000,283,12.779882,50,500,61142,1,122.284,0.00817768473389814,122039.432
46,../../graphs/col/G-1000-0.5-90-0.4.col,TABU,0,90,16.279953,20,0.8139976499999999,1107478,1340388,0.8262368806644046,4,90,0.000000,0.5,441,494.180000,543,15.944265,90,1000,247090,1,247.09,0.004047108341090291,493685.82
47,../../graphs/col/U-500-0.9-250-1.1.col,HEA,2,167,18.98772,30,0.6329239999999999,1745893,2597312,0.6721922510657171,1,250,1.000000,0.9,281,447.196000,499,46.709716,178,500,111799,1,223.598,0.004472311916922334,223150.804
